quarter,fav_drink,num_party,party_bin,smoke_cig,smoke_weed,campus_housing,personality,num_followers,salary,exercise,love_first_sight,learning_style,brain_type,myer_briggs,fav_sport,fav_letter,fav_num,hrs_sleep,procrastinator,only_child,birth_month,birth_date,childhood_us,age_years,gender_ident,marry,school_year,height_inches,father_height,mother_height,hand,happy,athlete,ap_stat,r_exp,num_major,hum,socsci,physsci,math,facebook,instagram,twitter,snapchat,tiktok,netflix,hulu,amazon_prime,hbo_max,disney_plus,distance,internet_hrs,fav_season,gpa_hs,gpa_nu,num_clubs,region,political,static_ability,change_ability,genetic,talent
fall 2022,Beer,10,7+,No,No,North campus,Extrovert,500,100000,450,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ISFP,volleyball,L,7,6,Yes,No,April,Odd,No,20,Female,29,Sophomore,NA,NA,NA,Right,Pretty happy,No,No,No,2,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,6400,6,Spring,NA,NA,2,International,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,2,1-2,No,No,South campus,Introvert,120,NA,6,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INTJ,basketball,G,23,6,Yes,No,September,Odd,Yes,18,Male,28,First year,68,65,63,Right,Not too happy,No,No,No,1,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,3,Summer,4.8,NA,0,Southeast,Independent,Disagree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,Yes,Neither,Introvert,1500,60000,180,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFP,tennis,M,2,7,Yes,No,September,Odd,Yes,20,Female,25,Junior,63.5,70,61,Right,Pretty happy,No,No,No,1,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,7036,45,Summer,94,3.88,2,Southwest,Democrat,Disagree,Disagree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,1,1-2,No,No,Neither,Extrovert,1800,50000,150,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,rugby,A,7,7,No,No,December,Odd,No,22,Female,35,Senior,NA,NA,NA,Right,Pretty happy,No,No,No,3,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,8000,5,Winter,4,3.98,2,International,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,3,3-4,Occasionally,No,North campus,Extrovert,600,50000,90,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ESTP,volleyball,E,4,8,Yes,Yes,October,Odd,Yes,18,Female,30,First year,66,NA,NA,Right,Pretty happy,No,Yes,No,1,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,5000,2,Fall,3.99,NA,0,West,Democrat,Agree,Disagree,Disagree,Agree
fall 2022,Wine,3,3-4,No,No,South campus,Introvert,2083,60000,60,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISFJ,dance,S,12,6,No,Yes,July,Even,Yes,21,Female,30,Senior,62,68,62,Right,Pretty happy,No,Yes,No,1,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,8031,4,Fall,4.7,3.7,3,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Beer,3,3-4,Occasionally,No,North campus,Extrovert,780,55000,400,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,baseball,S,73,6,Yes,No,March,Odd,Yes,19,Male,27,Sophomore,71,60,67,Right,Not too happy,No,No,No,2,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,8400,2,Winter,3.9,3.67,3,Southeast,Independent,Agree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,4,3-4,Occasionally,No,North campus,Extrovert,1500,50000,1,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",ENFP,volleyball,L,29,5,Yes,No,January,Odd,Yes,20,Male,NA,Junior,69,71,63,Right,Not too happy,No,No,No,3,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7142,8,Winter,4.95,3,3,Midwest,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,North campus,Introvert,800,57000,180,Yes,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,cross,C,23,8,No,No,February,Odd,Yes,20,Male,27,Sophomore,69,NA,NA,Right,Pretty happy,No,Yes,Yes,2,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,2021,4,Spring,6,3.59,3,Southeast,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,Wine,1,1-2,No,Yes,Neither,Introvert,1000,50000,NA,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",Unknown,skiing,S,7,6,Yes,No,October,Even,No,21,Female,35,Junior,NA,NA,NA,Right,Not too happy,No,No,No,1,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,7546,NA,Summer,3.9,NA,1,West,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,I don't drink,3,3-4,No,No,North campus,Introvert,800,60000,240,Yes,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",Unknown,baseball,T,7,7,No,No,November,Odd,Yes,18,Female,30,First year,NA,NA,NA,Right,Not too happy,No,No,No,1,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,4098,3,Fall,5,NA,1,Midwest,Democrat,Agree,Disagree,Agree,Agree
fall 2022,Beer,0,0,No,No,South campus,Introvert,200,45000,NA,Yes,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",INTJ,volleyball,O,9,6,Yes,No,February,Even,No,19,Female,NA,First year,68.1,68.8,66.1,Right,Not too happy,No,No,No,3,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,7364,NA,Summer,NA,NA,2,International,No affiliation,Disagree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,0,0,No,Occasionally,Neither,Introvert,1200,60000,240,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFP,basketball,M,13,7,Yes,No,July,Odd,Yes,23,Male,32,Senior,NA,NA,NA,Right,Pretty happy,Yes,No,No,1,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,1300,4,Fall,4.3,3.3,0,Southeast,Democrat,Disagree,Agree,Agree,Disagree
fall 2022,I don't drink,0,0,No,No,South campus,Introvert,60,35000,60,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INTP,,W,4,6,Yes,No,June,Even,Yes,18,Male,30,First year,68,NA,NA,Right,Don't know,No,No,No,1,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,6518,3,Winter,3.96,NA,0,Northeast,No affiliation,Agree,Disagree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,South campus,Introvert,460,50000,200,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INFP,volleyball,W,22,6,Yes,No,August,Odd,Yes,18,Female,30,First year,68,70,67,Right,Don't know,No,Yes,No,1,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,2878,5,Fall,NA,NA,0,Northeast,Independent,Disagree,Agree,Disagree,Agree
fall 2022,I don't drink,1,1-2,No,No,South campus,Introvert,120,60000,120,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",Unknown,gymnastics,B,1,6,No,No,May,Even,Yes,18,Female,30,First year,61.5,70,63,Right,Pretty happy,No,No,No,1,No,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,3765,2,Spring,NA,NA,1,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,Yes,South campus,Extrovert,829,50000,NA,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,women's,L,18,6,Yes,No,August,Even,Yes,22,Female,NA,Junior,NA,NA,NA,Right,Pretty happy,No,No,No,1,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,NA,23,Spring,NA,NA,2,Northeast,Democrat,Disagree,Agree,Agree,Disagree
fall 2022,Beer,1,1-2,No,No,North campus,Introvert,1250,80000,100,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,basketball,W,10,7,No,No,February,Odd,Yes,20,Male,30,Sophomore,72,71,68,Right,Pretty happy,No,Yes,Yes,1,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,5000,5,Summer,3.75,3.8,2,Northeast,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,Occasionally,Occasionally,Neither,Extrovert,489,70000,4,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,hockey,G,11,6,Yes,No,October,Even,No,20,Female,30,Senior,63,73,62,Left,Not too happy,No,No,No,1,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,6697,6,Summer,3.85,NA,1,International,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,4,3-4,No,Occasionally,Neither,Extrovert,1200,80000,1200,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,baseball,R,39,8,Yes,No,September,Even,Yes,21,Male,25,Junior,75,56,55,Right,Pretty happy,Yes,No,Yes,2,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,8057,2,Spring,4.5,3,1,Midwest,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,I don't drink,1,1-2,No,No,North campus,Extrovert,1100,200000,20,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,tennis,P,2,8,No,No,June,Even,Yes,18,Male,30,First year,77,75,71,Right,Very happy,No,No,No,2,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,9000,2,Summer,4.16,NA,3,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,North campus,Introvert,2000,150000,420,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,boxing,B,8,7,No,No,October,Even,Yes,19,Male,28,Sophomore,70,66,61,Right,Pretty happy,No,No,No,3,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,4000,8,Fall,NA,3.74,2,Northeast,Independent,Agree,Disagree,Disagree,Agree
fall 2022,Beer,8,7+,No,Occasionally,North campus,Extrovert,1200,160000,300,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESTJ,football,A,16,8,Yes,No,May,Even,Yes,19,Male,27,Sophomore,71,69,66,Right,Very happy,No,No,No,2,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,8644,1,Spring,NA,3.8,3,Northeast,Democrat,Agree,Disagree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,3,3-4,No,No,South campus,Extrovert,1500,50000,9,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,dance,A,14,5,Yes,No,May,Odd,Yes,19,Female,30,Sophomore,66,70,65,Left,Pretty happy,No,No,No,4,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4643,5,Fall,3.98,NA,3,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,4,3-4,No,Yes,North campus,Extrovert,1148,50000,420,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",Unknown,skiing,A,5,8,Yes,No,October,Odd,Yes,19,Male,26,Sophomore,70,NA,NA,Right,Very happy,No,Yes,No,2,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,NA,4,Winter,4.63,3.93,4,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,NA,7+,No,No,North campus,Extrovert,1300,60000,20,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFP,swimming,L,25,8,Yes,Yes,March,Odd,Yes,18,Female,30,First year,66,76,63,Right,Pretty happy,Yes,No,No,2,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,7920,5,Summer,3.9,NA,1,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,2,1-2,No,No,South campus,Introvert,3,NA,30,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,basketball,D,23,6,No,No,January,Odd,Yes,20,Female,28,Junior,NA,NA,NA,Right,Pretty happy,No,No,No,0,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,2,6,Fall,4.05,3.74,1,Midwest,No affiliation,Agree,Agree,Disagree,Disagree
fall 2022,Wine,5,5-6,No,Occasionally,South campus,Extrovert,2000,45000,NA,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,swimming,P,23,7,Yes,No,January,Even,Yes,19,Female,28,Sophomore,NA,NA,NA,Right,Pretty happy,No,Yes,No,2,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4819,5,Fall,4,3.6,4,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,10,7+,No,No,North campus,Extrovert,2000,180000,420,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENFJ,tennis,R,18,9,No,No,August,Even,Yes,20,Female,31,Sophomore,64,68,62,Right,Very happy,No,No,No,3,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,8000,3,Summer,3.9,4,4,Northeast,Democrat,Agree,Disagree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,10,7+,No,Occasionally,South campus,Extrovert,1200,70000,240,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ESFP,swimming,M,9,5,Yes,No,June,Even,Yes,18,Female,28,First year,64,68,66,Right,Pretty happy,No,Yes,No,3,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,7236,1,Spring,4,NA,4,Northeast,No affiliation,Disagree,Agree,Disagree,Agree
fall 2022,I don't drink,3,3-4,No,No,South campus,Extrovert,700,100000,7,Yes,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ENTP,soccer,A,2,9,Yes,No,June,Even,No,21,Male,30,Sophomore,NA,NA,NA,Right,Pretty happy,No,No,No,2,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,7945,6,Summer,NA,3.66,4,International,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,40,7+,Occasionally,No,North campus,Introvert,1200,80000,360,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",INFJ,basketball,M,12,8,No,No,December,Odd,Yes,19,Male,28,Sophomore,69,74,64,Right,Pretty happy,No,No,No,2,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,5802,NA,Winter,4,3.81,5,Southwest,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,1,1-2,No,No,Neither,Extrovert,NA,100000,NA,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",Unknown,basketball,T,3,8,Yes,No,October,Even,Yes,20,Male,25,Junior,NA,NA,NA,Right,Very happy,Yes,No,No,1,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,NA,3,Fall,3.8,3.7,1,Midwest,Democrat,Agree,Disagree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,8,7+,No,No,North campus,Extrovert,1700,0,1000,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",Unknown,golf,C,18,7,Yes,No,July,Even,No,19,Male,30,Sophomore,74,71,65,Right,Very happy,Yes,No,No,1,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,5023,2,Summer,NA,3.4,1,International,No affiliation,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,North campus,Extrovert,100,NA,250,Yes,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESFJ,soccer,X,9,6,Yes,Yes,May,Odd,Yes,18,Male,30,First year,48,48,41,Right,Pretty happy,No,No,No,1,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,8000,6,Spring,4.13,NA,4,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,7,7+,No,Yes,South campus,Extrovert,1700,80000,360,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",Unknown,baseball,W,7,6,Yes,No,July,Odd,Yes,18,Female,28,First year,64,68,63,Right,Pretty happy,No,No,No,2,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2900,5,Fall,NA,NA,2,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Beer,6,5-6,No,Occasionally,South campus,Introvert,800,60000,60,Yes,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ISTP,hockey,K,26,8,Yes,No,February,Even,Yes,19,Male,24,Sophomore,74,69,65,Right,Pretty happy,No,No,No,3,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,1200,8,Fall,4.15,3.37,2,Midwest,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,5,5-6,No,No,North campus,Introvert,770,35000,90,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INFJ,swimming,M,7,6,No,No,May,Odd,Yes,20,Female,34,Sophomore,67,72,67,Right,Pretty happy,No,No,No,2,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,6016,7,Fall,4,3.98,3,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,3,3-4,No,Occasionally,North campus,Extrovert,700,90000,180,No,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",Unknown,fencing,B,19,7,Yes,No,July,Odd,Yes,21,Female,30,Senior,67,74,68,Both,Don't know,Yes,No,No,1,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,4149,4,Winter,4,3.6,1,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Wine,5,5-6,Occasionally,Occasionally,North campus,Introvert,400,60000,20,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",ESTP,soccer,A,22,5,Yes,No,May,Even,No,20,Female,30,Sophomore,NA,NA,NA,Both,Don't know,Yes,No,No,3,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,9521,15,Spring,4.1,NA,3,Northeast,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,3,3-4,No,No,North campus,Extrovert,1804,80000,240,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",Unknown,gymnastics,L,9,6,Yes,No,March,Odd,Yes,18,Female,27,First year,60,68,61,Right,Very happy,No,Yes,No,1,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,4500,8,Fall,4.3,NA,0,Southeast,Democrat,Disagree,Agree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,2,1-2,No,Occasionally,North campus,Introvert,1100,60000,360,No,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",ENFP,basketball,B,8,6,Yes,No,July,Odd,Yes,18,Male,25,First year,76,69,67,Left,Pretty happy,No,No,No,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,9864,6,Spring,NA,NA,3,Northeast,Democrat,Agree,Disagree,Agree,Disagree
fall 2022,Beer,1,1-2,Occasionally,Yes,North campus,Extrovert,1600,85000,NA,Yes,Reading/Writing (learn best through words often note-taking or reading),"Right-brained (creative, art, imaginative, intuitive)",INFP,basketball,E,9,6,Yes,No,December,Odd,Yes,19,Female,24,Sophomore,62,70,60,Right,Not too happy,No,Yes,Yes,3,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8100,3,Summer,4.4,3.8,4,Southwest,Democrat,Agree,Disagree,Agree,Disagree
fall 2022,I don't drink,0,0,No,No,North campus,Introvert,800,60000,300,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ISTJ,tennis,A,8,6,No,Yes,April,Even,Yes,18,Male,28,First year,69,67,63,Left,Pretty happy,No,No,Yes,1,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,8475,6,Spring,4.8,NA,2,West,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,6,5-6,No,Occasionally,South campus,Introvert,1400,60000,360,No,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",INTJ,hockey,J,3,8,Yes,No,June,Even,Yes,20,Male,NA,Junior,71,74,66,Right,Not too happy,No,No,No,0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5000,4,Winter,NA,3.5,NA,Northeast,Democrat,Agree,Agree,Agree,Disagree
fall 2022,I don't drink,0,0,No,No,North campus,Introvert,760,170000,12,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INFP,football,F,2,5,Yes,No,February,Odd,Yes,19,Male,24,Sophomore,73,73,65,Right,Pretty happy,No,Yes,No,3,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,10000,8,Spring,4.6,3.9,4,Southeast,No affiliation,Agree,Disagree,Disagree,Disagree
fall 2022,Beer,3,3-4,No,No,South campus,Introvert,1250,150000,300,Yes,Kinesthetic (learn best through figuring out hands-on problems),"Right-brained (creative, art, imaginative, intuitive)",ISTP,soccer,L,22,7,Yes,No,February,Even,Yes,19,Female,26,Sophomore,64,70,70,Right,Pretty happy,No,Yes,No,2,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,3000,5,Summer,4.6,3.5,6,Southeast,Democrat,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,4,3-4,No,No,North campus,Introvert,1000,70000,1200,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",Unknown,diving,J,6,8,Yes,No,July,Even,Yes,18,Male,26,First year,73,72,67,Left,Pretty happy,Yes,No,No,2,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2000,2,Spring,3.97,NA,1,Midwest,Republican,Agree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,10,7+,No,No,North campus,Extrovert,1200,50000,180,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",Unknown,football,M,11,7,Yes,No,September,Odd,Yes,18,Female,27,First year,64,74,65,Left,Pretty happy,No,No,No,0,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,5000,6,Spring,4.6,NA,3,Northeast,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,3,3-4,No,Occasionally,South campus,Extrovert,2000,100000,8,No,Visual (learn best through images or graphic organizers),"Left-brained (logic, science, critical thinking, numbers)",ENTP,volleyball,M,3,8,Yes,No,July,Odd,No,19,Female,25,Sophomore,67,73,66,Right,Not too happy,No,Yes,No,2,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8581,10,Spring,4.5,3,2,Southeast,Democrat,Agree,Disagree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,10,7+,No,Yes,North campus,Extrovert,1500,100000,420,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ESTP,football,B,7,7,Yes,No,November,Even,Yes,19,Male,24,Sophomore,73,69,67,Right,Very happy,No,Yes,No,2,No,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1400,5,Fall,4.5,3.7,2,Southeast,Democrat,Disagree,Agree,Disagree,Agree
fall 2022,Hard liquor/Mixed drink,10,7+,No,Occasionally,North campus,Introvert,1000,60000,360,Yes,Visual (learn best through images or graphic organizers),"Right-brained (creative, art, imaginative, intuitive)",INFJ,soccer,I,11,9,No,Yes,July,Even,Yes,19,Female,27,Sophomore,NA,NA,NA,Right,Pretty happy,No,No,No,2,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,5500,2,Spring,NA,NA,3,Southwest,Independent,Disagree,Agree,Disagree,Disagree
fall 2022,I don't drink,0,0,No,No,North campus,Extrovert,900,80000,360,No,Auditory (learn best through listening/speaking),"Left-brained (logic, science, critical thinking, numbers)",ENFP,soccer,S,7,7,No,No,January,Even,Yes,18,Male,25,First year,71,65,65,Right,Very happy,No,No,No,1,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,7281,2,Winter,5,NA,1,Midwest,No affiliation,Disagree,Disagree,Disagree,Agree
fall 2022,I don't drink,0,0,No,Occasionally,Neither,Introvert,897,70000,400,No,Kinesthetic (learn best through figuring out hands-on problems),"Left-brained (logic, science, critical thinking, numbers)",INTJ,soccer,Z,8,7,Yes,No,March,Odd,Yes,19,Female,30,Sophomore,65,75,63,Right,Don't know,No,Yes,No,3,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,9862,3,Summer,4,3.6,3,Southeast,Independent,Disagree,Disagree,Disagree,Disagree
fall 2022,Hard liquor/Mixed drink,12,7+,No,No,South campus,Extrovert,1600,100000,120,No,Reading/Writing (learn best through words often note-taking or reading),"Left-brained (logic, science, critical thinking, numbers)",ENTJ,tennis,N,8,8,Yes,No,February,Even,No,19,Female,27,Sophomore,66,70,68,Right,Very happy,No,No,No,3,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,5500,50,Spring,4.13,3.42,2,Northeast,Democrat,Agree,Disagree,Agree,Disagree
fall 2022,Hard liquor/Mixed drink,12,7+,No,Occasionally,North campus,Extrovert,1250,150000,240,No,Auditory (learn best through listening/speaking),"Right-brained (creative, art, imaginative, intuitive)",ENTJ,football,K,23,7,No,No,January,Odd,Yes,18,Male,28,First year,72,72,63,Right,Pretty happy,No,No,No,0,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,NA,6,Fall,NA,NA,0,Northeast,Democrat,Disagree,Agree,Disagree,Disagree
