section,section_id,section_sis_id,submitted,attempt,2039596: How many classes have you missed so far this quarter?,1.0,"2039597: If you had a choice, what is your ideal exam day?",1.0,"2039598: How would you rate the difficulty of the material in ""Part 2"" (Chapters 5-9.1)?",1.0,2039599: How would you rate the demands of theactivities?,1.0,"2039600: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1.0,2039601: How would you rate the usefulness of the lecture slides?,1.0,2039602: What are your thoughts on the course website?,1.0,2039603: How would you rate thedifficultyof Exam 2?,1.0,"2039604: How would you rate the fairness ofExam 2?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1.0,2039605: Did you actually study for the exam?,1.0,"2039606: If a future student were to ask the best way to study for an exam, what material would you suggest?",1.0,2102000: Which method do you usually use to complete the reading checks?,1.0,"2102002: I have had frequent ""loading issues"" with the reading checks.",1.0,2102001: Provide your view on Aha Slides,1.0,"2039607: Please provide any general thoughts or critiques you may have concerning the material (Chapter 5-9.1) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1.0,n correct,n incorrect,score
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:32:26 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,5 - Very difficult,1.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,No,0.0,I would come to class even if participation was not counted,1.0,Everything good so far. Professor always attentive to emails and students concerns. ,0.0,8,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:26:30 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Hate it - go back to Canvas,0.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:25:58 UTC,1,0,1.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,5 - Very difficult,1.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture,No opinion on Aha Slides",0.0,I think there should not be a cap on the peer study groups for STAT. That seems incredibly unfair to me.,0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:22:05 UTC,1,0,1.0,Friday,0.0,4- Somewhat difficult,0.0,2 -,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,No opinion on Aha Slides,0.0,I like this course :),0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:12:30 UTC,1,3 or 4,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,Posit Cloud,1.0,No,0.0,I would come to class even if participation was not counted,1.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:09:55 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,3 - Neutral (don't care one way or another),0.0,Don't care either way,0.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture",0.0,"",0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:08:07 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:06:19 UTC,1,5 or more,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,No opinion on Aha Slides,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:06:12 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:06:10 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Don't care either way,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:05:45 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Don't care either way,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam,Other",0.0,Posit Cloud,1.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture",0.0,"I thought the last exam was more difficult than the first, but I think I didn't have the right study techniques

 ",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:05:36 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,n/a,0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:05:10 UTC,1,1 or 2,0.0,Friday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,3 - Neutral (don't care one way or another),0.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Not as much as I should have,0.0,Practice Exam,0.0,Posit Cloud,1.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:04:30 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,0-1 hours,1.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam,Other",0.0,Link,0.0,Yes,1.0,Aha Slides makes lectures more engaging,0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:04:15 UTC,1,0,1.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Only once,0.0,I would come to class even if participation was not counted,1.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:04:10 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Only once,0.0,I would NOT come to class if participation was not counted.,0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:03:36 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,No opinion on Aha Slides,0.0,My reading checks rarely load and I am having a lot of trouble getting them done. ,0.0,8,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:03:17 UTC,1,3 or 4,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,2 - Somewhat easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:02:59 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,9,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:02:51 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Yes,1.0,Aha Slides makes lectures more engaging,0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 15:02:46 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 14:57:55 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,I think chapter 5-9.1 was very hard to conceptualize but the activities really helped a lot. The reading checks are getting hard to understand because some wording takes time to understand.,0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 13:58:21 UTC,1,1 or 2,0.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Not as much as I should have,0.0,"Review Activities,Practice Exam",0.0,Posit Cloud,1.0,Only once,0.0,Aha Slides makes lectures more engaging,0.0,"",0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 06:15:01 UTC,1,0,1.0,Friday,0.0,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"I think that having more sample exams or questions similar to the exam would be much more useful, as it helps with not only preparing for the exam but also preparing for content review and important topics. For example, spending time on Simpson's paradox was important for understanding, but the emphasis made it seem like it would be on the exam. I also wish that the application questions on the exam resembled the code that we are exposed to in the class slides or activities, rather than excess code on the website.",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 04:13:01 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging,I would enjoy Aha Slides more if it were competition based",0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 00:54:17 UTC,1,3 or 4,0.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Not as much as I should have,0.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"No complaints on my end. I love the course the way it is. I do wish directions in activities were a little more thorough, though. I feel like the first few activities offered a lot more guidance, meaning I always knew what to do. Maybe that's your goal though (like it's supposed to get more challenging and be more independent), in which case my feeling this way is warranted. ",0.0,4,11,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 00:42:56 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam,Other",0.0,Posit Cloud,1.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"The class structure has been great so far, but I would love if there were multiple versions of practice tests. Doing practice tests are the most effective way for me to study, and having more of them would be beneficial in my opinion.",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-15 00:01:37 UTC,1,5 or more,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,No opinion on Aha Slides,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 21:40:48 UTC,1,3 or 4,0.0,Friday,0.0,3 - Neither difficult nor easy,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Practice Exam,Other",0.0,Posit Cloud,1.0,Only once,0.0,No opinion on Aha Slides,0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 21:02:56 UTC,1,1 or 2,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Not as much as I should have,0.0,"Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,The materials covered in chapters 5-9.1 is pretty good. It introduces fundamental concepts statistics itself while incorporating the data science aspect. However I would recommend more practice and connection between the statistical concepts and the activities/ coding in R. Optional quizzes that apply the concepts to other examples may be helpful in understanding them better. ,0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 18:02:27 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,This class is going great! It makes me more excited to start the data science minor track next year :),0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 17:39:54 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,4 -,0.0,Don't care either way,0.0,5 - Very difficult,1.0,4 - fair,0.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 17:36:49 UTC,1,0,1.0,Monday,1.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Hate it - go back to Canvas,0.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture",0.0,"I think the aha slides are a good way to encourage participation however, I think the time given for the slides is not enough. Sometimes I find myself just choosing a random answer instead of thinking it through because I know if I don't get an answer in on time my participation wouldn't count even if I am there for the day. However, I think on the material end, the class is very great. It has encouraged me to add a data science major. I like what we're learning in class and the way it's taught is very engaging. ",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 04:22:14 UTC,1,0,1.0,Friday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,3 - Neither difficult nor easy,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,Aha Slides makes lectures more engaging,0.0,"Although it did feel like we spent less time covering more chapters for exam 2, I would say that overall it was pretty manageable to digest the material, especially with the examples on the lecture slides and practice exam provided. I am not sure if this would be feasible, but I think a more lengthy practice exam or a variety of practice exams might also be another resource for students.",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 04:06:41 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,3 - Neither difficult nor easy,0.0,4 - fair,0.0,Yes,1.0,"Practice Exam,Other",0.0,Link,0.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides provide no benefit to lecture,I would enjoy Aha Slides more if it were competition based",0.0,"",0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 03:24:10 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,Aha Slides makes lectures more engaging,0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 03:01:40 UTC,1,1 or 2,0.0,Wednesday,0.0,5 - Very difficult,1.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,5 - Very difficult,1.0,3 - Neither fair nor unfair,0.0,Yes,1.0,"Review Activities,End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,No opinion on Aha Slides,0.0,"",0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 02:25:11 UTC,1,3 or 4,0.0,Wednesday,0.0,3 - Neither difficult nor easy,0.0,3 - Demands were about right,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Yes,1.0,Aha Slides provide no benefit to lecture,0.0,I think the slides are really well organized and concise: they focus on the interpretation a lot more than the reading does and it really clarifies the types of correlation/statements we can make from different types of data analysis. Definitely continue them!,0.0,5,10,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 02:21:12 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,"Perhaps more practice with linear regression. Also, it's annoying when it freezes on the activities or reading checks. I'm enjoying the concepts and you're a great teacher.",0.0,8,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 02:15:15 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,4 -,0.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,"End of Chapter Textbook Exercises,Practice Exam",0.0,Link,0.0,Only once,0.0,"I would come to class even if participation was not counted,Aha Slides makes lectures more engaging",0.0,I thought the material went pretty fast this unit. Some more reviewing in class would help.,0.0,6,9,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 02:14:13 UTC,1,0,1.0,Monday,1.0,5 - Very difficult,1.0,4 -,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Don't care either way,0.0,4- Somewhat difficult,0.0,2 - not fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,8,7,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 01:05:28 UTC,1,0,1.0,Wednesday,0.0,4- Somewhat difficult,0.0,5 - Too demanding,1.0,3-5 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,5 - Very difficult,1.0,2 - not fair,0.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,9,6,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 00:44:17 UTC,1,0,1.0,Monday,1.0,5 - Very difficult,1.0,5 - Too demanding,1.0,7 or more hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,5 - Very difficult,1.0,4 - fair,0.0,Yes,1.0,"Review Activities,Practice Exam",0.0,Posit Cloud,1.0,Yes,1.0,I would come to class even if participation was not counted,1.0,"",0.0,12,3,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-14 00:41:16 UTC,1,0,1.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,1-3 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,4 - fair,0.0,Yes,1.0,Practice Exam,0.0,Link,0.0,Yes,1.0,"I would NOT come to class if participation was not counted.,Aha Slides makes lectures more engaging",0.0,"",0.0,7,8,1.0
2023WI_STAT_202-0_SEC20 Introduction to Statistics and Data Science,181215,4890_26122,2023-02-13 23:16:28 UTC,1,1 or 2,0.0,Monday,1.0,4- Somewhat difficult,0.0,3 - Demands were about right,0.0,5-7 hours,0.0,5 - Very useful (keep providing slides),1.0,Love it - organized and easy to use,1.0,4- Somewhat difficult,0.0,5 - Very fair (all topics were covered),1.0,Yes,1.0,"Review Activities,Review Reading Checks,Practice Exam",0.0,Link,0.0,Only once,0.0,Aha Slides makes lectures more engaging,0.0,"",0.0,6,9,1.0
