section,section_id,section_sis_id,submitted,1,2023034: How many classes have you missed so far this quarter?,1,"2023035: If you had a choice, what is your ideal exam day?",1,"2023036: How would you rate the difficulty of the material in ""Part 3"" (Chapters 9.2-12)?",1,2023037: How would you rate the demands of theactivities?,1,"2023038: Not counting the time spent in class, on average how much time a week do you spend on STAT 202 outside of class (reading check, finishing activities, studying, etc.)",1,2023039: How would you rate the usefulness of the lecture slides?,1,2023040: What are your thoughts on the course website?,1,2023041: How would you rate thedifficultyof Exam 3?,1,"2023042: How would you rate the fairness ofExam 3?
Fair means the material was covered in the course and you should be expected to know it.
(difficult does not mean the exam was unfair)",1,2023043: Did you actually study for the exam?,1,"2023044: If a future student were to ask the best way to study for an exam, what material would you suggest?",1,"2023045: Please provide any general thoughts or critiques you may have concerning the material (Chapter 9.2-12) and its use in class. If none, leave blank.
If you think that some of the material is stupid or worthless, then feel free to say so. However please indicate why you think it is stupid or worthless.
Similarly, if you think the material is wonderful and perfect, then feel free to say so. However please indicate why you think it is wonderful and perfect.
I rely on your feedback for improving this course for future students!",1,n correct,n incorrect,score
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 19:40:46 UTC,1,0,1,Monday,1,3 - Neither difficult nor easy,0,3 - Demands were about right,0,3-5 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,3 - Neither fair nor unfair,0,Yes,1,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam,Lecture Slides",0,Great Course overall!,0,7,6,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 19:29:32 UTC,1,1 or 2,0,Monday,1,2 - Somewhat easy,0,3 - Demands were about right,0,0-1 hours,1,4 -,0,Love it - organized and easy to use,1,1 - Very easy,0,5 - Very fair (all topics were covered),1,Yes,1,"Review Activities,Review Reading Checks,Practice Exam,Lecture Slides",0,,0,7,6,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 18:44:41 UTC,1,0,1,Monday,1,5 - Very difficult,1,3 - Demands were about right,0,3-5 hours,0,5 - Very useful (keep providing slides),1,Don't care either way,0,4- Somewhat difficult,0,4 - fair,0,Yes,1,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam,Lecture Slides",0,,0,7,6,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 18:35:59 UTC,1,0,1,Monday,1,3 - Neither difficult nor easy,0,3 - Demands were about right,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,5 - Very fair (all topics were covered),1,Yes,1,"Review Activities,Practice Exam,Lecture Slides",0,"I think there was more difficult material in these sections than the previous ones, but you did a great job of selecting what was most important for us to know. For example, it would have been a lot to know all the code for sampling distributions/calculating CI's by hand, so it was nice that these were more conceptually based.  ",0,8,5,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 18:27:24 UTC,1,1 or 2,0,Monday,1,3 - Neither difficult nor easy,0,3 - Demands were about right,0,5-7 hours,0,4 -,0,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,4 - fair,0,Yes,1,"Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam,Lecture Slides",0,"Practice exam and panopto have been relly helpful when reviewing for exam three. And overall, I feel this course well organized and everything reasonable. I like this course.",0,5,8,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 17:00:09 UTC,1,3 or 4,0,Monday,1,3 - Neither difficult nor easy,0,3 - Demands were about right,0,3-5 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,4 - fair,0,Not as much as I should have,0,"End of Chapter Textbook Exercises,Practice Exam,Lecture Slides",0,Course is still pretty solid. Nothing to really complain about or add,0,5,8,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 16:56:52 UTC,1,0,1,Wednesday,0,4- Somewhat difficult,0,3 - Demands were about right,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,4- Somewhat difficult,0,3 - Neither fair nor unfair,0,Not as much as I should have,0,"Practice Exam,Lecture Slides",0,i’d like it if the test was more application based than concept based since that’s what we mostly do in class/do our activities on. ,0,5,8,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 16:37:02 UTC,1,0,1,Monday,1,3 - Neither difficult nor easy,0,3 - Demands were about right,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,4 - fair,0,Not as much as I should have,0,"Review Activities,Review Reading Checks,End of Chapter Textbook Exercises,Practice Exam,Lecture Slides,Other",0,The exam was fair and as long as you reviewed the material I felt prepared for the exam. ,0,6,7,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 16:33:17 UTC,1,1 or 2,0,Wednesday,0,4- Somewhat difficult,0,3 - Demands were about right,0,3-5 hours,0,4 -,0,Love it - organized and easy to use,1,4- Somewhat difficult,0,3 - Neither fair nor unfair,0,Yes,1,"Review Activities,Review Reading Checks,Practice Exam",0,NA,0,4,9,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 16:14:29 UTC,1,1 or 2,0,Friday,0,3 - Neither difficult nor easy,0,4 -,0,3-5 hours,0,2 -,0,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,4 - fair,0,Yes,1,"Review Activities,Review Reading Checks,Practice Exam",0,I wish there as more information in the slides about the topics. ,0,4,9,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 16:01:02 UTC,1,0,1,Monday,1,4- Somewhat difficult,0,3 - Demands were about right,0,1-3 hours,0,5 - Very useful (keep providing slides),1,Love it - organized and easy to use,1,3 - Neither difficult nor easy,0,5 - Very fair (all topics were covered),1,Yes,1,"Practice Exam,Lecture Slides",0,,0,8,5,1
2022FA_STAT_202-0_SEC20 Introduction to Statistics and Data Science,171913,4880_16822,2022-11-22 15:55:58 UTC,1,1 or 2,0,Wednesday,0,4- Somewhat difficult,0,4 -,0,3-5 hours,0,4 -,0,Love it - organized and easy to use,1,5 - Very difficult,1,4 - fair,0,Yes,1,"Review Activities,Review Reading Checks,Practice Exam,Lecture Slides",0,,0,5,8,1
